127.0.0.1 - - [14/Jan/2024:21:09:06 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:07 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:07 +0700] "GET /trang-chu HTTP/1.1" 200 4655
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:07 +0700] "GET /template/web/css/small-business.css HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:07 +0700] "GET /template/web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:07 +0700] "GET /template/web/vendor/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:07 +0700] "GET /template/web/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:09 +0700] "GET /dang-nhap HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:09 +0700] "GET /template/login/style.css HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:11 +0700] "GET /favicon.ico HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:17 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:17 +0700] "GET /quan-tri/trang-chu HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:17 +0700] "GET /template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:17 +0700] "GET /template/admin/sweetalert/sweetalert2.min.js HTTP/1.1" 200 25121
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:17 +0700] "GET /template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:17 +0700] "GET /template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:17 +0700] "GET /template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:17 +0700] "GET /template/admin/assets/font-awesome/4.2.0/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:17 +0700] "GET /template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 200 26759
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101986
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42838
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36668
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39715
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/ace.min.js HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:18 +0700] "GET /template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241694
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:19 +0700] "GET /template/admin/assets/font-awesome/4.2.0/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:22 +0700] "GET /quan-tri/bai-viet/danh-sach?page=1&limit=2 HTTP/1.1" 200 11912
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:24 +0700] "GET /quan-tri/bai-viet/danh-sach?page=3&limit=2 HTTP/1.1" 200 11790
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:31 +0700] "DELETE /api/new HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:31 +0700] "GET /quan-tri/bai-viet/danh-sach?page=1&limit=2&message=delete_success HTTP/1.1" 200 12001
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:35 +0700] "GET /quan-tri/bai-viet/danh-sach?page=1&limit=2 HTTP/1.1" 200 11912
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:37 +0700] "GET /quan-tri/bai-viet/chinh-sua HTTP/1.1" 200 11968
